Text,Cảm_xúc,Độ_tin_cậy
 Admiring the beauty of nature during a peaceful hike.   ,Tích cực,0.9088
 Sending affectionate vibes to all my followers!          ,Tích cực,0.7748
 Experiencing awe at the breathtaking sunset.            ,Tích cực,0.9469
 Disappointed with the service at a local restaurant.    ,Tiêu cực,0.9067
 A surprise gift from a friend made my day!              ,Tích cực,0.9832
 Finding acceptance in the midst of life's challenges.   ,Trung lập,0.646
 Overflowing with adoration for my adorable pet! 🐾      ,Tích cực,0.9809
 Anticipating a thrilling adventure in the coming weeks. ,Tích cực,0.982
 A bitter experience turned into a valuable lesson.      ,Trung lập,0.4892
 Finding calmness in the midst of a busy day.            ,Tích cực,0.7123
 Confusion clouds my mind as I navigate through decisions.,Trung lập,0.4919
 Excitement building up for the upcoming vacation!       ,Tích cực,0.982
 Kindness witnessed today restored my faith in humanity. ,Tích cực,0.9571
 Pride in achieving a personal milestone.               ,Tích cực,0.9068
 A moment of shame for not standing up against injustice. ,Tiêu cực,0.9033
 Fuming with anger after a heated argument.            ,Tiêu cực,0.885
 The fear of the unknown is keeping me up at night.    ,Tiêu cực,0.734
 Heartfelt sadness after bidding farewell to a dear friend. ,Tiêu cực,0.8199
 The state of corruption in our society is utterly disgusting. ,Tiêu cực,0.9382
 Overflowing happiness: welcoming a new family member!  ,Tích cực,0.9814
 Laughter is the key to joy—attending a stand-up comedy show. ,Tích cực,0.9489
 Sending love to all my followers on this beautiful day! ❤️ ,Tích cực,0.9869
 Amused by the antics of my pet—it's pure amusement!      ,Tích cực,0.871
 Enjoying every moment of this trip—pure enjoyment!      ,Tích cực,0.9817
 Admiring the dedication of volunteers at a local charity. ,Tích cực,0.5987
 Sending affectionate vibes to friends and family.        ,Tích cực,0.7591
 Awe-struck by the beauty of the night sky.               ,Tích cực,0.937
 Disappointed with the lack of progress in a personal project. ,Tiêu cực,0.8992
 A surprise visit from an old friend brought tears of joy. ,Tích cực,0.9878
 Embracing acceptance of life's ups and downs.           ,Trung lập,0.7291
 Overflowing adoration for a cute rescue puppy! 🐶       ,Tích cực,0.9449
 Anticipating the release of a much-awaited movie.       ,Tích cực,0.9485
 Bitter experience at the customer service department.   ,Tiêu cực,0.9266
 Finding calmness amidst the chaos of daily life.        ,Trung lập,0.4857
 Confusion reigns as I try to make sense of recent events.,Tiêu cực,0.5105
 Excitement building up for a surprise birthday party.   ,Tích cực,0.982
 Witnessed an act of kindness that made my day.          ,Tích cực,0.9719
 Pride in completing a challenging fitness challenge.    ,Tích cực,0.62
 A moment of shame for not speaking up against injustice.,Tiêu cực,0.8985
 Reflecting on the beauty of diversity in our world.     ,Tích cực,0.9078
 Excitement for a quiet evening with a good book.        ,Tích cực,0.9802
 Feeling bitter about the unfairness in the workplace.   ,Tiêu cực,0.8868
 Calmness prevails as I practice mindfulness.            ,Tích cực,0.6715
 Confusion surrounds me as I navigate through life's choices. ,Trung lập,0.5702
 Excitement for a weekend road trip to explore new places. ,Tích cực,0.9817
 Kindness witnessed today restores my faith in humanity.  ,Tích cực,0.9566
 Pride in accomplishing personal and professional goals.  ,Tích cực,0.7757
 Shame for not being true to my values in a difficult situation.,Tiêu cực,0.8932
" Revisiting old memories, feeling a sense of elation. ",Tích cực,0.9255
 The victory of our team brought euphoria to the city. ,Tích cực,0.9786
" Embracing the beauty of nature, a moment of contentment. ",Tích cực,0.9463
" Meditating by the serene lake, finding inner peace.   ",Tích cực,0.7382
 Overflowing with gratitude for life's blessings.      ,Tích cực,0.9665
" Hopeful for a brighter tomorrow, despite challenges.  ",Tích cực,0.9625
 Empowered to make a difference in my community.        ,Tích cực,0.752
 Compassion in action: supporting a local charity event. ,Tích cực,0.8418
" A moment of tenderness, connecting with loved ones.    ",Tích cực,0.8715
 Arousal of excitement as I await a special announcement.,Tích cực,0.9799
 Enthusiastically diving into a new project.            ,Tích cực,0.7361
 Feeling a sense of fulfillment after reaching a milestone.,Tích cực,0.9635
 Reverence for the beauty of a historic landmark.       ,Tích cực,0.8234
 Elation after a surprise reunion with old friends.    ,Trung lập,0.5363
 The euphoria of a live music concert under the stars.  ,Tích cực,0.9656
 Contentment in the simplicity of a quiet Sunday.       ,Tích cực,0.8941
 Serenity found in the pages of a favorite book.        ,Tích cực,0.9378
 Gratitude for the support received during tough times. ,Tích cực,0.9471
 Hopeful about the possibilities of a new journey.      ,Tích cực,0.9726
 Empowerment through learning and personal growth.      ,Tích cực,0.6824
 Compassion towards those in need during the holidays.  ,Tích cực,0.523
 Tenderness in the warmth of a cozy winter evening.     ,Tích cực,0.6676
 Arousal of excitement for an upcoming adventure.       ,Tích cực,0.9675
 Enthusiasm for a creative project in the making.       ,Tích cực,0.8191
 Fulfillment in completing a challenging workout routine.,Tích cực,0.5642
 Reverence for the artistry displayed in a museum.      ,Trung lập,0.7385
 Elation after achieving a personal goal.               ,Trung lập,0.5474
 Elation over discovering a hidden gem in the city.   ,Tích cực,0.7612
 The euphoria of a surprise birthday celebration.     ,Tích cực,0.9743
 Contentment in the simplicity of a home-cooked meal. ,Tích cực,0.8983
 Serenity found in the melody of a peaceful piano.    ,Tích cực,0.878
 Gratitude for the supportive community around me.    ,Tích cực,0.9757
 Hopeful about the prospects of a new business venture.,Tích cực,0.9536
 Empowerment through mentoring and guiding others.    ,Tích cực,0.6319
 Compassion shown through acts of kindness in the community.,Tích cực,0.7252
 Tenderness in a heartfelt message to a loved one.    ,Trung lập,0.5236
 Arousal of excitement before a much-awaited trip.    ,Tích cực,0.9752
 Enthusiasm for a new artistic project in the works.  ,Tích cực,0.7825
 Feeling a sense of fulfillment after helping others. ,Tích cực,0.9439
 Reverence for the historical significance of a landmark.,Trung lập,0.8492
 Elation after achieving a fitness milestone.         ,Tích cực,0.7598
 The euphoria of a successful product launch.         ,Tích cực,0.972
 Contentment in the embrace of a loved one.           ,Tích cực,0.9501
 Serenity found in the beauty of a sunset by the sea.  ,Tích cực,0.9245
 Gratitude for the small joys that each day brings.   ,Tích cực,0.9751
 Hopeful about the potential for personal growth.      ,Tích cực,0.9646
 Empowerment through learning a new skill.            ,Tích cực,0.5175
 Compassion in volunteering for a local charity.       ,Tích cực,0.5136
 Tenderness in a quiet moment shared with a pet.      ,Trung lập,0.7851
 Arousal of excitement for an upcoming festival.       ,Tích cực,0.9585
 Enthusiasm for a DIY home improvement project.       ,Trung lập,0.6593
 Fulfillment in completing a challenging puzzle.      ,Tích cực,0.6256
 Reverence for the wonders of nature on a hiking trail.,Tích cực,0.727
 Elation after a surprise reunion with a childhood friend.,Trung lập,0.5172
 Suffering from despair after another setback.      ,Tiêu cực,0.8482
" Overwhelmed by grief, missing a loved one dearly.  ",Tiêu cực,0.8682
 Loneliness creeps in as the night grows colder.    ,Tiêu cực,0.744
 Jealousy consumes me as I witness others' success. ,Tiêu cực,0.66
 Resentment building up over past betrayals.        ,Tiêu cực,0.6786
 Frustration mounts as obstacles block my path.     ,Tiêu cực,0.7754
" Boredom sets in, the day feels endlessly dull.     ",Tiêu cực,0.8803
" Anxiety grips my heart, worry clouds my thoughts.  ",Tiêu cực,0.8654
 Intimidation by the unknown future ahead.          ,Tiêu cực,0.5009
 Helplessness sinks in as challenges pile up.       ,Tiêu cực,0.8084
 Envy eats away at me as I see others' prosperity.  ,Tiêu cực,0.834
 Regret over missed opportunities haunts my thoughts.,Tiêu cực,0.87
 Disgust at the sight of injustice and cruelty.     ,Tiêu cực,0.9287
" Drowning in despair, hope slipping through my fingers.",Tiêu cực,0.6885
" Grief weighs heavy, tears a constant companion.    ",Tiêu cực,0.8871
" Loneliness in a crowded room, a silent cry for connection.",Tiêu cực,0.6399
" Jealousy gnaws at my confidence, a toxic emotion.  ",Tiêu cực,0.9115
" Resentment festers, poisoning relationships.       ",Tiêu cực,0.8422
" Frustration boils over, a volcanic eruption of emotions.",Tiêu cực,0.6575
" Boredom settles like dust, life feels mundane.     ",Tiêu cực,0.8419
" Anxiety grips my chest, a relentless grip on my thoughts.",Tiêu cực,0.8006
" Intimidation by the challenges ahead, fear takes hold.",Tiêu cực,0.6714
" Helplessness engulfs me, drowning in a sea of problems.",Tiêu cực,0.8727
" Envy poisons my thoughts, coveting others' success.",Tiêu cực,0.7767
 Regret for decisions that led to a painful present.,Tiêu cực,0.8587
 Disgust at the corruption that stains society.     ,Tiêu cực,0.9263
" Sinking in despair, each day darker than the last. ",Tiêu cực,0.8521
" Grief overwhelms, a storm of emotions within.      ",Tiêu cực,0.796
" Loneliness echoes in empty spaces, yearning for connection.",Tiêu cực,0.6441
" Jealousy poisons my thoughts, resentment brewing within.",Tiêu cực,0.8967
" Resentment festers, a wound that refuses to heal.  ",Tiêu cực,0.8712
" Frustration escalates, a thunderstorm of emotions. ",Tiêu cực,0.6638
" Boredom lingers, a stagnant pool of indifference.  ",Tiêu cực,0.8091
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",Trung lập,0.5797
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Trung lập,0.5598
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",Tiêu cực,0.7091
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",Tiêu cực,0.6006
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Trung lập,0.6893
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",Tích cực,0.6674
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",Tiêu cực,0.6597
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Trung lập,0.5515
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",Trung lập,0.4994
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",Trung lập,0.5077
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",Trung lập,0.749
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",Trung lập,0.6377
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",Trung lập,0.496
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Trung lập,0.4908
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",Trung lập,0.8296
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",Trung lập,0.7428
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",Trung lập,0.5284
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",Trung lập,0.6403
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",Tích cực,0.5134
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",Tích cực,0.7105
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",Tích cực,0.6959
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",Trung lập,0.7089
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",Tiêu cực,0.4946
" Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",Trung lập,0.5143
" A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",Trung lập,0.639
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",Trung lập,0.5818
" Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",Tiêu cực,0.6559
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ",Trung lập,0.5975
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",Tích cực,0.6965
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",Tích cực,0.7901
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",Trung lập,0.7471
" Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",Trung lập,0.8209
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",Trung lập,0.5637
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",Trung lập,0.6374
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",Trung lập,0.8967
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",Trung lập,0.6503
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",Tích cực,0.4828
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",Tích cực,0.9113
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",Tích cực,0.7228
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",Trung lập,0.8731
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",Trung lập,0.6172
" Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",Tiêu cực,0.5807
" Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Tiêu cực,0.5071
" Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",Trung lập,0.7379
" Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",Trung lập,0.6564
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",Trung lập,0.809
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",Tích cực,0.579
" Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",Trung lập,0.6396
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",Tích cực,0.8559
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",Tích cực,0.568
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Tiêu cực,0.5071
" Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",Tích cực,0.8568
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",Tích cực,0.9131
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",Tích cực,0.7845
" Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",Tích cực,0.9553
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",Tích cực,0.9616
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",Tích cực,0.5768
" Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",Trung lập,0.5797
" Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",Tích cực,0.8418
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",Trung lập,0.58
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",Tích cực,0.9089
" Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",Tích cực,0.8522
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",Trung lập,0.6455
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",Trung lập,0.7554
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",Trung lập,0.8128
" In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",Trung lập,0.7678
" Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",Tích cực,0.9533
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",Tích cực,0.9167
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",Tích cực,0.674
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",Tích cực,0.9662
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",Tích cực,0.8608
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Tích cực,0.9117
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",Tích cực,0.6138
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",Tích cực,0.7481
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",Trung lập,0.7276
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",Tích cực,0.7886
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",Tích cực,0.932
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",Tích cực,0.7619
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",Tích cực,0.9405
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",Tích cực,0.5557
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",Trung lập,0.6743
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",Trung lập,0.7699
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",Tích cực,0.674
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",Tích cực,0.9662
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",Tích cực,0.8608
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Tích cực,0.9117
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",Tích cực,0.6138
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",Tích cực,0.7481
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",Trung lập,0.7276
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",Tích cực,0.7886
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",Tích cực,0.932
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",Tích cực,0.7619
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",Tích cực,0.9405
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",Tích cực,0.5557
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",Trung lập,0.6743
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",Trung lập,0.7699
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",Tích cực,0.674
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",Tích cực,0.9662
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",Tích cực,0.8608
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Tích cực,0.9117
" Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Tiêu cực,0.8469
" Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",Tiêu cực,0.8692
" Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",Tiêu cực,0.6395
" Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Tiêu cực,0.5003
" Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",Trung lập,0.5475
" Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",Trung lập,0.5625
" Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Tiêu cực,0.6784
" Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ",Tiêu cực,0.676
" Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ",Tiêu cực,0.8956
" Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ",Tiêu cực,0.7323
" Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ",Tiêu cực,0.6964
" Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ",Trung lập,0.5099
" Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",Tiêu cực,0.8471
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",Trung lập,0.6138
" Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",Tiêu cực,0.5914
" Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",Tiêu cực,0.859
" Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. ",Tiêu cực,0.7284
" Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent. ",Tiêu cực,0.897
" Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",Tiêu cực,0.9068
" Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand. ",Tiêu cực,0.6574
" Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights. ",Tiêu cực,0.5077
" Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Tiêu cực,0.6082
" Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness. ",Tiêu cực,0.8752
" Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory. ",Tiêu cực,0.7203
" Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. ",Trung lập,0.6357
" Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon. ",Tiêu cực,0.7092
" Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners. ",Tiêu cực,0.7495
" Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. ",Trung lập,0.627
" Overwhelmed by the maze of expectations, a minotaur of pressure lurking in the labyrinth, waiting to devour the spirit of resilience. ",Tiêu cực,0.8146
" Jealousy, a festering wound, the pain intensifying with each glance at the garden of others' achievements, blooming beyond the fence. ",Tiêu cực,0.6757
" Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. ",Tiêu cực,0.8546
" Frustrated attempts to untangle the knot of confusion, the threads of understanding slipping further into the labyrinth of miscommunication. ",Tiêu cực,0.6808
" Envious eyes locked on the treasure chest of opportunities, a heartache fueled by the desire for keys that seem forever elusive. ",Tiêu cực,0.4932
" Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Tiêu cực,0.6082
" Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",Tiêu cực,0.8471
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",Trung lập,0.6138
Awe-struck by the breathtaking sunrise over the mountains.      ,Tích cực,0.9397
Navigating through the challenges with determination.          ,Trung lập,0.5299
Nostalgia hits while flipping through an old photo album.     ,Trung lập,0.7129
Thrilled to witness the grandeur of a cultural festival.       ,Tích cực,0.9742
Calmness found in the rhythm of raindrops on the windowpane.   ,Tích cực,0.7313
Overwhelmed by the support received during a personal challenge.,Trung lập,0.4364
Excitement builds as the countdown to a long-awaited vacation begins. ,Tích cực,0.9825
"Reflecting on life's journey, grateful for the lessons learned. ",Tích cực,0.9394
Bittersweet emotions arise while bidding farewell to a dear friend. ,Trung lập,0.6553
Curiosity sparked by exploring a mysterious ancient ruin.      ,Trung lập,0.852
Admiration for the intricate details of a handcrafted masterpiece. ,Tích cực,0.9413
Overjoyed by the warmth of a cozy fireplace on a winter evening.   ,Tích cực,0.9778
Inspiration strikes while observing the colors of a vibrant sunset.,Tích cực,0.799
Motivated to achieve fitness goals after an invigorating workout.  ,Tích cực,0.899
Gratitude for the simple joys found in a cup of morning coffee.    ,Tích cực,0.9703
