Text,Text_ok,Sentiment_Polarity,Sentiments
 Sunday brunch with friends.                        ,sunday brunch friends,0.0,Trung lập
 Learning a new language for personal growth.       ,learning new language personal growth,0.06818181818181818,Trung lập
 Quiet evening with a good book.                    ,quiet evening good book,0.35,Tích cực
 Reflecting on the importance of mental health.     ,reflecting importance mental health,-0.1,Tiêu cực
 New painting in progress! 🎨                       ,new painting progress,0.13636363636363635,Tích cực
 Weekend road trip to explore scenic views.         ,weekend road trip explore scenic views,0.0,Trung lập
 Enjoying a cup of tea and watching the sunset.     ,enjoying cup tea watching sunset,0.5,Tích cực
 Coding a new project with enthusiasm.              ,coding new project enthusiasm,0.13636363636363635,Tích cực
 Feeling inspired after attending a workshop.       ,feeling inspired attending workshop,0.0,Trung lập
 Winter sports day at the local park.               ,winter sports day local park,0.0,Trung lập
 Quality time with family this weekend.             ,quality time family weekend,0.0,Trung lập
 Attending a live music concert tonight.            ,attending live music concert tonight,0.13636363636363635,Tích cực
 Practicing mindfulness with meditation.            ,practicing mindfulness meditation,0.0,Trung lập
 Trying out a new dessert recipe.                   ,trying new dessert recipe,0.13636363636363635,Tích cực
 Excited about the upcoming gaming tournament.      ,excited upcoming gaming tournament,0.375,Tích cực
 Planning a garden makeover for spring.             ,planning garden makeover spring,0.0,Trung lập
 Celebrating a friend's birthday tonight! 🎂       ,celebrating friends birthday tonight,0.0,Trung lập
 Feeling accomplished after a productive day.       ,feeling accomplished productive day,0.2,Tích cực
 A cozy evening with a good movie.                 ,cozy evening good movie,0.25,Tích cực
 Exploring local art galleries this weekend.        ,exploring local art galleries weekend,0.0,Trung lập
 New book release from my favorite author!          ,new book release favorite author,0.3181818181818182,Tích cực
 Attending a virtual reality meetup.                ,attending virtual reality meetup,0.0,Trung lập
 Reflecting on the beauty of nature.                ,reflecting beauty nature,0.0,Trung lập
 Cooking a special dinner for loved ones.           ,cooking special dinner loved ones,0.5285714285714286,Tích cực
 Feeling optimistic about the week ahead.           ,feeling optimistic week ahead,0.0,Trung lập
 Starting a new fitness challenge tomorrow! 💪     ,starting new fitness challenge tomorrow,0.06818181818181818,Trung lập
 Sunday bike ride through scenic trails.           ,sunday bike ride scenic trails,0.0,Trung lập
 Can't believe the injustice happening in our society.,cant believe injustice happening society,0.0,Trung lập
 Feeling a sense of fear after watching a thriller movie. ,feeling sense fear watching thriller movie,0.0,Trung lập
 Heartbroken after hearing the news about a natural disaster. ,heartbroken hearing news natural disaster,0.1,Tích cực
 The state of the world's environment is just disgusting. ,state worlds environment disgusting,-1.0,Tiêu cực
 Pure happiness: celebrating a loved one's achievement! ,pure happiness celebrating loved ones achievement,0.5380952380952381,Tích cực
 Laughter is the best medicine—enjoying a comedy show. ,laughter best medicineenjoying comedy show,1.0,Tích cực
 Sharing love and positive vibes with everyone! ❤️      ,sharing love positive vibes everyone,0.36363636363636365,Tích cực
 An amusing incident brightened up my day!               ,amusing incident brightened day,0.6,Tích cực
 Enjoying a quiet evening with a book and some tea.      ,enjoying quiet evening book tea,0.25,Tích cực
 Admiring the beauty of nature during a peaceful hike.   ,admiring beauty nature peaceful hike,0.25,Tích cực
 Sending affectionate vibes to all my followers!          ,sending affectionate vibes followers,0.0,Trung lập
 Experiencing awe at the breathtaking sunset.            ,experiencing awe breathtaking sunset,1.0,Tích cực
 Disappointed with the service at a local restaurant.    ,disappointed service local restaurant,-0.375,Tiêu cực
 A surprise gift from a friend made my day!              ,surprise gift friend made day,0.0,Trung lập
 Finding acceptance in the midst of life's challenges.   ,finding acceptance midst lifes challenges,0.0,Trung lập
 Overflowing with adoration for my adorable pet! 🐾      ,overflowing adoration adorable pet,0.5,Tích cực
 Anticipating a thrilling adventure in the coming weeks. ,anticipating thrilling adventure coming weeks,0.25,Tích cực
 A bitter experience turned into a valuable lesson.      ,bitter experience turned valuable lesson,-0.1,Tiêu cực
 Finding calmness in the midst of a busy day.            ,finding calmness midst busy day,0.1,Tích cực
 Confusion clouds my mind as I navigate through decisions.,confusion clouds mind navigate decisions,0.0,Trung lập
 Excitement building up for the upcoming vacation!       ,excitement building upcoming vacation,0.0,Trung lập
 Kindness witnessed today restored my faith in humanity. ,kindness witnessed today restored faith humanity,0.0,Trung lập
 Pride in achieving a personal milestone.               ,pride achieving personal milestone,0.0,Trung lập
 A moment of shame for not standing up against injustice. ,moment shame standing injustice,0.0,Trung lập
 Fuming with anger after a heated argument.            ,fuming anger heated argument,-0.7,Tiêu cực
 The fear of the unknown is keeping me up at night.    ,fear unknown keeping night,-0.1,Tiêu cực
 Heartfelt sadness after bidding farewell to a dear friend. ,heartfelt sadness bidding farewell dear friend,0.0,Trung lập
 The state of corruption in our society is utterly disgusting. ,state corruption society utterly disgusting,-1.0,Tiêu cực
 Overflowing happiness: welcoming a new family member!  ,overflowing happiness welcoming new family member,0.41818181818181815,Tích cực
 Laughter is the key to joy—attending a stand-up comedy show. ,laughter key joyattending standup comedy show,0.0,Trung lập
 Sending love to all my followers on this beautiful day! ❤️ ,sending love followers beautiful day,0.675,Tích cực
 Amused by the antics of my pet—it's pure amusement!      ,amused antics petits pure amusement,0.21428571428571427,Tích cực
 Enjoying every moment of this trip—pure enjoyment!      ,enjoying every moment trippure enjoyment,0.5,Tích cực
 Admiring the dedication of volunteers at a local charity. ,admiring dedication volunteers local charity,0.0,Trung lập
 Sending affectionate vibes to friends and family.        ,sending affectionate vibes friends family,0.0,Trung lập
 Awe-struck by the beauty of the night sky.               ,awestruck beauty night sky,0.0,Trung lập
 Disappointed with the lack of progress in a personal project. ,disappointed lack progress personal project,-0.375,Tiêu cực
 A surprise visit from an old friend brought tears of joy. ,surprise visit old friend brought tears joy,0.45,Tích cực
 Embracing acceptance of life's ups and downs.           ,embracing acceptance lifes ups downs,0.0,Trung lập
 Overflowing adoration for a cute rescue puppy! 🐶       ,overflowing adoration cute rescue puppy,0.5,Tích cực
 Anticipating the release of a much-awaited movie.       ,anticipating release muchawaited movie,0.0,Trung lập
 Bitter experience at the customer service department.   ,bitter experience customer service department,-0.1,Tiêu cực
 Finding calmness amidst the chaos of daily life.        ,finding calmness amidst chaos daily life,0.0,Trung lập
 Confusion reigns as I try to make sense of recent events.,confusion reigns try make sense recent events,0.0,Trung lập
 Excitement building up for a surprise birthday party.   ,excitement building surprise birthday party,0.0,Trung lập
 Witnessed an act of kindness that made my day.          ,witnessed act kindness made day,0.0,Trung lập
 Pride in completing a challenging fitness challenge.    ,pride completing challenging fitness challenge,0.5,Tích cực
 A moment of shame for not speaking up against injustice.,moment shame speaking injustice,0.0,Trung lập
 Reflecting on the beauty of diversity in our world.     ,reflecting beauty diversity world,0.0,Trung lập
 Excitement for a quiet evening with a good book.        ,excitement quiet evening good book,0.35,Tích cực
 Feeling bitter about the unfairness in the workplace.   ,feeling bitter unfairness workplace,-0.1,Tiêu cực
 Calmness prevails as I practice mindfulness.            ,calmness prevails practice mindfulness,0.0,Trung lập
 Confusion surrounds me as I navigate through life's choices. ,confusion surrounds navigate lifes choices,0.0,Trung lập
 Excitement for a weekend road trip to explore new places. ,excitement weekend road trip explore new places,0.13636363636363635,Tích cực
 Kindness witnessed today restores my faith in humanity.  ,kindness witnessed today restores faith humanity,0.0,Trung lập
 Pride in accomplishing personal and professional goals.  ,pride accomplishing personal professional goals,0.05,Trung lập
 Shame for not being true to my values in a difficult situation.,shame true values difficult situation,-0.07500000000000001,Trung lập
" Revisiting old memories, feeling a sense of elation. ",revisiting old memories feeling sense elation,0.1,Tích cực
 The victory of our team brought euphoria to the city. ,victory team brought euphoria city,0.0,Trung lập
" Embracing the beauty of nature, a moment of contentment. ",embracing beauty nature moment contentment,0.0,Trung lập
" Meditating by the serene lake, finding inner peace.   ",meditating serene lake finding inner peace,0.0,Trung lập
 Overflowing with gratitude for life's blessings.      ,overflowing gratitude lifes blessings,0.0,Trung lập
" Hopeful for a brighter tomorrow, despite challenges.  ",hopeful brighter tomorrow despite challenges,0.0,Trung lập
 Empowered to make a difference in my community.        ,empowered make difference community,0.0,Trung lập
 Compassion in action: supporting a local charity event. ,compassion action supporting local charity event,0.11666666666666665,Tích cực
" A moment of tenderness, connecting with loved ones.    ",moment tenderness connecting loved ones,0.7,Tích cực
 Arousal of excitement as I await a special announcement.,arousal excitement await special announcement,0.35714285714285715,Tích cực
 Enthusiastically diving into a new project.            ,enthusiastically diving new project,0.13636363636363635,Tích cực
 Feeling a sense of fulfillment after reaching a milestone.,feeling sense fulfillment reaching milestone,0.0,Trung lập
 Reverence for the beauty of a historic landmark.       ,reverence beauty historic landmark,0.0,Trung lập
 Elation after a surprise reunion with old friends.    ,elation surprise reunion old friends,0.1,Tích cực
 The euphoria of a live music concert under the stars.  ,euphoria live music concert stars,0.13636363636363635,Tích cực
 Contentment in the simplicity of a quiet Sunday.       ,contentment simplicity quiet sunday,0.0,Trung lập
 Serenity found in the pages of a favorite book.        ,serenity found pages favorite book,0.5,Tích cực
 Gratitude for the support received during tough times. ,gratitude support received tough times,-0.3888888888888889,Tiêu cực
 Hopeful about the possibilities of a new journey.      ,hopeful possibilities new journey,0.13636363636363635,Tích cực
 Empowerment through learning and personal growth.      ,empowerment learning personal growth,0.0,Trung lập
 Compassion towards those in need during the holidays.  ,compassion towards need holidays,0.0,Trung lập
 Tenderness in the warmth of a cozy winter evening.     ,tenderness warmth cozy winter evening,-0.19999999999999998,Tiêu cực
 Arousal of excitement for an upcoming adventure.       ,arousal excitement upcoming adventure,0.0,Trung lập
 Enthusiasm for a creative project in the making.       ,enthusiasm creative project making,0.5,Tích cực
 Fulfillment in completing a challenging workout routine.,fulfillment completing challenging workout routine,0.5,Tích cực
 Reverence for the artistry displayed in a museum.      ,reverence artistry displayed museum,0.0,Trung lập
 Elation after achieving a personal goal.               ,elation achieving personal goal,0.0,Trung lập
 Elation over discovering a hidden gem in the city.   ,elation discovering hidden gem city,-0.16666666666666666,Tiêu cực
 The euphoria of a surprise birthday celebration.     ,euphoria surprise birthday celebration,0.0,Trung lập
 Contentment in the simplicity of a home-cooked meal. ,contentment simplicity homecooked meal,0.0,Trung lập
 Serenity found in the melody of a peaceful piano.    ,serenity found melody peaceful piano,0.25,Tích cực
 Gratitude for the supportive community around me.    ,gratitude supportive community around,0.5,Tích cực
 Hopeful about the prospects of a new business venture.,hopeful prospects new business venture,0.13636363636363635,Tích cực
 Empowerment through mentoring and guiding others.    ,empowerment mentoring guiding others,0.0,Trung lập
 Compassion shown through acts of kindness in the community.,compassion shown acts kindness community,0.0,Trung lập
 Tenderness in a heartfelt message to a loved one.    ,tenderness heartfelt message loved one,0.35,Tích cực
 Arousal of excitement before a much-awaited trip.    ,arousal excitement muchawaited trip,0.0,Trung lập
 Enthusiasm for a new artistic project in the works.  ,enthusiasm new artistic project works,0.23484848484848483,Tích cực
 Feeling a sense of fulfillment after helping others. ,feeling sense fulfillment helping others,0.0,Trung lập
 Reverence for the historical significance of a landmark.,reverence historical significance landmark,0.0,Trung lập
 Elation after achieving a fitness milestone.         ,elation achieving fitness milestone,0.0,Trung lập
 The euphoria of a successful product launch.         ,euphoria successful product launch,0.75,Tích cực
 Contentment in the embrace of a loved one.           ,contentment embrace loved one,0.7,Tích cực
 Serenity found in the beauty of a sunset by the sea.  ,serenity found beauty sunset sea,0.0,Trung lập
 Gratitude for the small joys that each day brings.   ,gratitude small joys day brings,-0.25,Tiêu cực
 Hopeful about the potential for personal growth.      ,hopeful potential personal growth,0.0,Trung lập
 Empowerment through learning a new skill.            ,empowerment learning new skill,0.13636363636363635,Tích cực
 Compassion in volunteering for a local charity.       ,compassion volunteering local charity,0.0,Trung lập
 Tenderness in a quiet moment shared with a pet.      ,tenderness quiet moment shared pet,0.0,Trung lập
 Arousal of excitement for an upcoming festival.       ,arousal excitement upcoming festival,0.0,Trung lập
 Enthusiasm for a DIY home improvement project.       ,enthusiasm diy home improvement project,0.0,Trung lập
 Fulfillment in completing a challenging puzzle.      ,fulfillment completing challenging puzzle,0.5,Tích cực
 Reverence for the wonders of nature on a hiking trail.,reverence wonders nature hiking trail,0.0,Trung lập
 Elation after a surprise reunion with a childhood friend.,elation surprise reunion childhood friend,0.0,Trung lập
 Suffering from despair after another setback.      ,suffering despair another setback,0.0,Trung lập
" Overwhelmed by grief, missing a loved one dearly.  ",overwhelmed grief missing loved one dearly,-0.10000000000000002,Tiêu cực
 Loneliness creeps in as the night grows colder.    ,loneliness creeps night grows colder,0.0,Trung lập
 Jealousy consumes me as I witness others' success. ,jealousy consumes witness others success,0.3,Tích cực
 Resentment building up over past betrayals.        ,resentment building past betrayals,-0.25,Tiêu cực
 Frustration mounts as obstacles block my path.     ,frustration mounts obstacles block path,-0.05,Trung lập
" Boredom sets in, the day feels endlessly dull.     ",boredom sets day feels endlessly dull,-0.2916666666666667,Tiêu cực
" Anxiety grips my heart, worry clouds my thoughts.  ",anxiety grips heart worry clouds thoughts,0.0,Trung lập
 Intimidation by the unknown future ahead.          ,intimidation unknown future ahead,-0.05,Trung lập
 Helplessness sinks in as challenges pile up.       ,helplessness sinks challenges pile,-0.1,Tiêu cực
 Envy eats away at me as I see others' prosperity.  ,envy eats away see others prosperity,0.0,Trung lập
 Regret over missed opportunities haunts my thoughts.,regret missed opportunities haunts thoughts,0.0,Trung lập
 Disgust at the sight of injustice and cruelty.     ,disgust sight injustice cruelty,0.0,Trung lập
" Drowning in despair, hope slipping through my fingers.",drowning despair hope slipping fingers,-0.1,Tiêu cực
" Grief weighs heavy, tears a constant companion.    ",grief weighs heavy tears constant companion,-0.3333333333333333,Tiêu cực
" Loneliness in a crowded room, a silent cry for connection.",loneliness crowded room silent cry connection,0.0,Trung lập
" Jealousy gnaws at my confidence, a toxic emotion.  ",jealousy gnaws confidence toxic emotion,0.0,Trung lập
" Resentment festers, poisoning relationships.       ",resentment festers poisoning relationships,0.0,Trung lập
" Frustration boils over, a volcanic eruption of emotions.",frustration boils volcanic eruption emotions,0.0,Trung lập
" Boredom settles like dust, life feels mundane.     ",boredom settles like dust life feels mundane,-0.16666666666666666,Tiêu cực
" Anxiety grips my chest, a relentless grip on my thoughts.",anxiety grips chest relentless grip thoughts,0.0,Trung lập
" Intimidation by the challenges ahead, fear takes hold.",intimidation challenges ahead fear takes hold,0.0,Trung lập
" Helplessness engulfs me, drowning in a sea of problems.",helplessness engulfs drowning sea problems,0.0,Trung lập
" Envy poisons my thoughts, coveting others' success.",envy poisons thoughts coveting others success,0.3,Tích cực
 Regret for decisions that led to a painful present.,regret decisions led painful present,-0.35,Tiêu cực
 Disgust at the corruption that stains society.     ,disgust corruption stains society,0.0,Trung lập
" Sinking in despair, each day darker than the last. ",sinking despair day darker last,0.0,Trung lập
" Grief overwhelms, a storm of emotions within.      ",grief overwhelms storm emotions within,-0.8,Tiêu cực
" Loneliness echoes in empty spaces, yearning for connection.",loneliness echoes empty spaces yearning connection,-0.1,Tiêu cực
" Jealousy poisons my thoughts, resentment brewing within.",jealousy poisons thoughts resentment brewing within,0.0,Trung lập
" Resentment festers, a wound that refuses to heal.  ",resentment festers wound refuses heal,0.0,Trung lập
" Frustration escalates, a thunderstorm of emotions. ",frustration escalates thunderstorm emotions,0.0,Trung lập
" Boredom lingers, a stagnant pool of indifference.  ",boredom lingers stagnant pool indifference,0.0,Trung lập
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",embarking journey discovery fueled curiosity thirst knowledge,0.0,Trung lập
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",lost vast sea information indifferent wave digital ocean,0.0,Trung lập
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",complex puzzle life leaves state perpetual confusion seeking answers chaos,-0.3,Tiêu cực
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",numbness settles shield overwhelming emotions life throws way,0.5,Tích cực
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",gazing sunset melancholic longing moments slip fingers time,0.0,Trung lập
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",revisiting old photographs caught embrace nostalgias bittersweet symphony,0.1,Tích cực
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",torn conflicting emotions ambivalence paints decisions shades uncertainty,0.0,Trung lập
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",embracing ebb flow life finding acceptance dance existence,0.0,Trung lập
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",facing challenges headon determination fuels fire within achieve impossible,-0.6666666666666666,Tiêu cực
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",serenity found stillness nature tranquil retreat chaos modern world,0.2,Tích cực
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",curiosity leading rabbit hole knowledge perpetual student lifes classroom,0.0,Trung lập
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",floating day air indifference detached mundane happenings around,-0.16666666666666666,Tiêu cực
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",entangled web thoughts confusion reigning navigate labyrinth ideas,0.0,Trung lập
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",numb chaos emotions locked away stoic facade concealing inner turmoil,-0.3,Tiêu cực
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",melancholy whispers breeze silent conversation echoes forgotten dreams,0.0,Trung lập
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",stumbling upon old journal nostalgia flooding waves carrying moments long gone,0.025,Trung lập
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",tapestry conflicting feelings weaving uncertainty caught threads ambivalence,0.0,Trung lập
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",embracing flaws finding acceptance imperfection journey towards selflove,0.0,Trung lập
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",determination burning like wildfire overcoming obstacles turning dreams reality,-0.05,Trung lập
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",tranquil moments ocean serenity washing peaceful retreat within waves embrace,0.25,Tích cực
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",exploring new horizons spark curiosity adventurer vast landscape knowledge,0.06818181818181818,Trung lập
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",drifting day nonchalant demeanor embracing art indifference,0.0,Trung lập
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",wrestling thoughts perplexed mind lost labyrinth lifes complexities,0.4,Tích cực
" Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",immersed state emotional numbness shield storm daily struggles,0.0,Trung lập
" A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",melancholic symphony playing background soundtrack wistful heart,0.0,Trung lập
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",flipping pages old yearbook nostalgia painting smiles tears face,0.1,Tích cực
" Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",torn opposing emotions ambivalence colors decisions shades uncertainty,0.0,Trung lập
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ",embracing lifes imperfections finding acceptance journey scars,0.0,Trung lập
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",fiery determination burning within fueled vision reaching unparalleled heights,0.0,Trung lập
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",basking serenity quiet forest whispers nature bring peace soul,0.0,Trung lập
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",indifferent noise world silent observer midst lifes cacophony,0.0,Trung lập
" Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",navigating labyrinth thoughts confusion constant companion maze ideas,0.0,Trung lập
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",impenetrable numbness shields emotional storms fortress stoic resilience,0.0,Trung lập
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",melancholy painting world hues nostalgia canvas bittersweet memories,0.0,Trung lập
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",journey past flipping pages old diary nostalgia taking lead,-0.075,Trung lập
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",ambivalence clouding decisions caught crossroads conflicting emotions,0.0,Trung lập
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",embracing imperfections finding acceptance mosaic lifes beautiful chaos,0.85,Tích cực
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",determination driving force propelling forward path extraordinary achievements,0.3333333333333333,Tích cực
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",seeking serenity melody raindrops tranquil escape noise everyday life,-0.2,Tiêu cực
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",curiosity driving exploration unknown seeker knowledge uncharted territories,-0.1,Tiêu cực
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",drifting day air nonchalance indifferent trivialities life,0.0,Trung lập
" Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",lost labyrinth thoughts confusion casting shadows quest clarity,0.0,Trung lập
" Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",wrapped cloak emotional numbness shield storms lifes turbulence,0.0,Trung lập
" Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",melancholy companion painting canvas life brushstrokes wistful yearning,0.0,Trung lập
" Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",leafing pages old photo album nostalgia weaving tales laughter tears,0.1,Tích cực
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",ambivalence air caught crossroads conflicting emotions decisions,0.0,Trung lập
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",embracing beauty imperfections finding acceptance mosaic lifes unpredictable art,-0.16666666666666666,Tiêu cực
" Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",determination ablaze forging path challenges sculpting dreams tangible realities,0.0,Trung lập
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",immerse serenity moonlit night quiet whispers nature bring peace soul,0.0,Trung lập
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",fueled curiosity venturing uncharted realms fearless explorer mysteries world,0.0,Trung lập
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",wrapped cloak emotional numbness shield storms lifes turbulence,0.0,Trung lập
" Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",dancing life exuberance carefree spirit embracing joy zest every turn,0.8,Tích cực
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",basking golden glow contentment serene river flowing landscape heart,0.3,Tích cực
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",gazing towards horizon hopeful eyes painting canvas dreams illuminated sun optimism,0.0,Trung lập
" Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",standing tall proud oak branches achievement reaching towards sky accomplishment,0.8,Tích cực
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",heart overflowing gratitude garden appreciation blooms soil kindness connection,0.0,Trung lập
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",extending hand empathetic threads weaving tapestry understanding embracing joys sorrows others,0.0,Trung lập
" Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",compassionate clouds heavy care showering empathy parched grounds human suffering,-0.1,Tiêu cực
" Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",playfully dancing rain laughter whimsical spirit twirling puddles joy lightheartedness,0.15000000000000002,Tích cực
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",soaring wings free spirit unburdened chains conformity painting sky independence,0.4,Tích cực
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",bathed glow inspiration creative phoenix rising ashes ordinary thoughts explore new realms,0.12878787878787878,Tích cực
" Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",navigating sea hope sailing towards sunrise possibilities confident ship positive anticipation,0.36363636363636365,Tích cực
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",striding confidence footprints selfassuredness imprinted sands challenges conquered victories claimed,0.0,Trung lập
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",lost symphony night moonlit serenade whispers tales wanderlust moonlit dreams,0.0,Trung lập
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",unveiling layers curiosity labyrinth questions leading treasure troves undiscovered knowledge,0.0,Trung lập
" In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",embrace autumn breeze leaves ambivalence dancing waltz choices uncertainties,0.0,Trung lập
" Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",gratitude guiding star navigating constellation blessings vast universe lifes precious moments,0.25,Tích cực
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",zestful heart sprinting fields enthusiasm chasing sunbeams laughter meadows joy,0.8,Tích cực
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",compassionate rain tears empathy falling gently nurturing seeds kindness garden human connections,0.1,Tích cực
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",proudly scaling peaks achievement mountaineer conquering challenges planting flag success,0.55,Tích cực
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",embraced hopeful dawn gardener sowing seeds optimism tending blooms brighter tomorrow,0.0,Trung lập
